id,word,url,pronounce,explanation
1,abadi,https://kbbi.kata.web.id/abadi/,aba.di,kekal; tidak berkesudahan: di dunia ini tidak ada yang abadi
2,abaktinal,https://kbbi.kata.web.id/abaktinal/,abak.ti.nal,"istilah biologi berkenaan dengan sisi tubuh yang tidak mengandung mulut, seperti pada binatang laut"
3,abang,https://kbbi.kata.web.id/abang/,,merah
4,abjadiah,https://kbbi.kata.web.id/abjadiah/,ab.ja.di.ah,berdasarkan abjad
5,abnormal,https://kbbi.kata.web.id/abnormal/,ab.nor.mal,tidak sesuai dengan keadaan yang biasa; mempunyai kelainan; tidak normal: sejak kecelakaan itu dia menjadi abnormal
6,abrit-abrit,https://kbbi.kata.web.id/abrit-abrit/,"ab.rit-ab.rit, ab.rit-ab.rit.an",dalam keadaan berlari tunggang-langgang (atau tergesa-gesa)
7,absolut,https://kbbi.kata.web.id/absolut/,ab.so.lut,(1) tidak terbatas; mutlak: seorang raja mempunyai kekuasaan absolut; (2) sepenuhnya; (3) tanpa syarat: penyerahan absolut tentara kolonial belanda kepada tentara pendudukan jepang; (4) tidak dapat diragukan lagi; nyata: terbukti keterlibatannya dalam peristiwa itu absolut
8,absonan,https://kbbi.kata.web.id/absonan/,ab.so.nan,tidak sesuai; bertentangan
9,abstain,https://kbbi.kata.web.id/abstain/,ab.stain,istilah olahraga ragu-ragu: pembantu wasit abstain dalam memberikan jawaban kepada wasit untuk menentukan kena tidaknya suatu perkenaan dari tusukan yang dilakukan oleh pemain (dalam olahraga anggar)
10,abtar,https://kbbi.kata.web.id/abtar/,ab.tar,kudung; kutung; putus
11,abuh-abuhan,https://kbbi.kata.web.id/abuh-abuhan/,abuh.an,"bengkak-bengkak pada kaki, tubuh, dan sebagainya"
12,abuhan,https://kbbi.kata.web.id/abuhan/,abuh.an,sakit gembung perut; busung
13,abur,https://kbbi.kata.web.id/abur/,,boros
14,acak-acakan,https://kbbi.kata.web.id/acak-acakan/,acak.an,tidak teratur; tidak cermat; serampangan; kacau
15,acap kali,https://kbbi.kata.web.id/acap-kali/,ka.li,berulang kali; sering
16,aco-acoan,https://kbbi.kata.web.id/aco-acoan/,aco.an,aco- acoan
17,acoan,https://kbbi.kata.web.id/acoan/,aco.an,sembrono; ugal-ugalan; serampangan
18,ad libitum,https://kbbi.kata.web.id/ad-libitum/,li.bi.tum,"ad berasal dari bahasa latin seturut keinginan, sesuai dengan cita rasa (dalam bersantap, berbusana, menata dekorasi, menata perlengkapan rumah, dan sebagainya) "
19,adekuat,https://kbbi.kata.web.id/adekuat/,ade.ku.at,memenuhi syarat; memadai; sama harkatnya
20,adem,https://kbbi.kata.web.id/adem/,,"cakapan (tidak baku) (1) dingin; sejuk; (2) tenteram (pikiran, hati); tenang; (3) hambar (rasa makanan); tawar"
21,adhesif,https://kbbi.kata.web.id/adhesif/,ad.he.sif,bersifat melekat
22,adiaktinik,https://kbbi.kata.web.id/adiaktinik/,adi.ak.ti.nik,istilah fisika kedap terhadap cahaya ultraviolet dan cahaya yang tampak
23,adidaya,https://kbbi.kata.web.id/adidaya/,adi.da.ya,adikuasa
24,adiguna,https://kbbi.kata.web.id/adiguna/,adi.gu.na,bersifat menonjolkan kepandaian
25,adigung,https://kbbi.kata.web.id/adigung/,adi.gung,"bersifat menonjolkan keluhuran, keturunan, dan kebangsawanan"
26,adikodrati,https://kbbi.kata.web.id/adikodrati/,adi.kod.ra.ti,melebihi atau di luar kodrat alam; supernatural
27,adikuasa,https://kbbi.kata.web.id/adikuasa/,adi.ku.a.sa,"berkekuatan amat besar atau luar biasa; (tentang negara, bangsa): penyusunan kekuatan negara adikuasa di wilayah itu berlangsung diam-diam"
28,adil,https://kbbi.kata.web.id/adil/,,(1) sama berat; tidak berat sebelah; tidak memihak: keputusan hakim itu adil; (2) berpihak kepada yang benar; berpegang pada kebenaran; (3) sepatutnya; tidak sewenang-wenang: para buruh mengemukakan tuntutan yang adil
29,adinamia,https://kbbi.kata.web.id/adinamia/,adi.na.mia,istilah kedokteran dalam keadaan tidak bertenaga; lemas
30,adisional,https://kbbi.kata.web.id/adisional/,adi.si.o.nal,sebagai tambahan; ekstra
31,aditama,https://kbbi.kata.web.id/aditama/,adi.ta.ma,berkemampuan amat baik: ia merupakan salah satu wanita aditama dalam kelompok itu
32,aditif,https://kbbi.kata.web.id/aditif/,adi.tif,"berkenaan atau dihasilkan dengan penambahan; (2) nistilah kimia zat yang ditambahkan pada suatu produk, misalnya sebagai penambah warna, penyedap rasa, pengawet pada makanan"
33,adiwarna,https://kbbi.kata.web.id/adiwarna/,adi.war.na,indah sekali; bagus sekali
34,adjektival,https://kbbi.kata.web.id/adjektival/,ad.jek.ti.val,"istilah linguistik (1) berfungsi sebagai adjektiva, tetapi tidak dapat berinfleksi seperti adjektiva biasa; (2) bersifat atau berfungsi sebagai adjektiva, misalnya frasa adjektival"
35,administratif,https://kbbi.kata.web.id/administratif/,ad.mi.nis.tra.tif,secara administrasi; bersangkut-paut (berkaitan) dengan administrasi
36,adun,https://kbbi.kata.web.id/adun/,,elok (karena berhias)
37,adventisius,https://kbbi.kata.web.id/adventisius/,ad.ven.ti.si.us,timbul atau terjadi secara sporadis atau di tempat yang tidak biasa
38,aerobik,https://kbbi.kata.web.id/aerobik/,ae.ro.bik,"bersifat memerlukan oksigen bagi kehidupan, gerak, dan pertumbuhannya"
39,afdal,https://kbbi.kata.web.id/afdal/,af.dal,(1) lebih baik; lebih utama: salat baru afdal apabila dilaksanakan dengan baik dan tidak menyimpang dari rukunnya; (2) lengkap; komplet: bagi mereka rasanya kurang afdal apabila pada waktu berbuka puasa tidak ada buah kurma
