comment_id,username,comment_text,timestamp,likes,replies,video_topic,sentimen
C001,user_123,lucu banget videonya🤣,2025-06-16 10:05:23,150,12,komedi,netral
C002,tiktok_fan,keren banget kak inspirasi nih!,2025-06-16 10:07:45,88,5,motivasi,positif
C003,gemoy_cat,meoww gemesinnn bangettt!!!,2025-06-16 10:10:01,300,20,hewan peliharaan,netral
C004,daily_vlog,next vlog kemana lagi kak?,2025-06-16 10:12:10,45,3,travel,netral
C005,bucin_story,relate banget sama aku😭😭,2025-06-16 10:15:30,210,18,cerita pribadi,netral
C006,foodie_lover,jadi laper deh liatnya resepnya dong!,2025-06-16 10:18:00,112,9,kuliner,netral
C007,sporty_girl,keren banget gerakannya latihannya berapa lama?,2025-06-16 10:20:15,75,6,olahraga,positif
C008,music_addict,lagunya bikin candu judulnya apa ya?,2025-06-16 10:22:30,90,7,musik,netral
C009,fashionista,outfitnya kece badai kak!,2025-06-16 10:25:00,180,15,fashion,netral
C010,gamer_indo,GGwp! main bareng yuk kak!,2025-06-16 10:27:10,60,4,game,netral
C011,parenting_tip,makasih tipsnya kak sangat membantu!,2025-06-16 10:30:00,130,10,parenting,netral
C012,student_life,tugasku numpuk gara-gara liat tiktok ini😭,2025-06-16 10:32:20,55,2,edukasi,netral
C013,random_thoughts,hahaha bener juga sih,2025-06-16 10:35:05,25,1,komedi,netral
C014,nature_lover,indah banget pemandangannya bikin adem,2025-06-16 10:37:30,95,8,alam,netral
C015,art_enthusiast,karyanya luar biasa!,2025-06-16 10:40:00,160,11,seni,netral
C016,tech_geek,spek PC-nya apa kak?,2025-06-16 10:42:15,40,3,teknologi,netral
C017,health_guru,sehat selalu ya kak!,2025-06-16 10:45:00,70,5,kesehatan,netral
C018,makeup_addict,tutorialnya jelas banget makasih!,2025-06-16 10:47:30,105,9,kecantikan,netral
C019,car_enthusiast,wow mobilnya keren!,2025-06-16 10:50:00,80,6,otomotif,positif
C020,DIY_expert,pengen coba bikin deh!,2025-06-16 10:52:10,120,10,DIY,netral
